CH1;CH2;PPG
99.12592;60.769356;574.4292
99.1342;60.7756;574.4358
99.1364;60.783085;574.43066
99.13318;60.775745;574.43
99.13072;60.77307;574.4433
99.12592;60.763416;574.4124
99.13449;60.765423;574.41833
99.13963;60.7597;574.41504
99.117134;60.747993;574.40515
99.09484;60.74084;574.4006
99.08604;60.743847;574.4025
99.088234;60.74055;574.4006
99.09214;60.7412;574.40216
99.10623;60.744488;574.3965
99.102066;60.742058;574.3946
99.0889;60.72856;574.39954
99.110596;60.744774;574.39905
99.09186;60.721478;574.39355
99.078575;60.718117;574.38965
99.082344;60.73247;574.38525
99.10201;60.748016;574.38763
99.09946;60.740696;574.3849
99.09079;60.728657;574.3831
99.110405;60.74749;574.38745
99.11698;60.749588;574.3807
99.11412;60.74916;574.3811
99.08955;60.72782;574.3812
99.10712;60.75035;574.36896
99.11539;60.759483;574.3674
99.12591;60.75803;574.3671
99.124405;60.754406;574.3614
99.14152;60.763584;574.3568
99.166626;60.791027;574.35895
99.15082;60.7895;574.35767
99.13803;60.783424;574.35535
99.1101;60.754288;574.35443
99.093735;60.738407;574.354
99.07386;60.714157;574.3497
99.068344;60.701836;574.34937
99.025696;60.668335;574.34894
98.97191;60.6228;574.34784
99.001305;60.654434;574.35187
99.06291;60.72799;574.34894
99.02725;60.70505;574.3432
99.0386;60.72308;574.3487
99.02489;60.70839;574.34875
98.98638;60.679066;574.34326
99.034706;60.75834;574.3431
99.05733;60.814297;574.3413
99.05617;60.850677;574.3365
99.09224;60.90792;574.33765
99.077095;60.904396;574.3321
99.05271;60.892185;574.32935
99.021645;60.862457;574.32526
99.048965;60.87371;574.32465
99.08938;60.902393;574.3251
99.1053;60.895573;574.3236
99.049034;60.85137;574.32227
99.07281;60.878002;574.3204
99.08742;60.873352;574.319
99.0952;60.87273;574.31537
99.124596;60.896435;574.31537
99.16143;60.914555;574.31586
99.13325;60.879787;574.3139
99.09479;60.84703;574.3119
99.07078;60.83299;574.31836
99.14321;60.901558;574.31805
99.159065;60.914528;574.30975
99.15781;60.92564;574.3055
99.10605;60.87168;574.3023
99.08561;60.834824;574.3036
99.098366;60.826263;574.30725
99.10602;60.815536;574.3068
99.07958;60.796177;574.3025
99.051704;60.783302;574.3069
99.03864;60.779846;574.3062
99.03125;60.772022;574.30115
99.019165;60.76144;574.30145
98.996635;60.73936;574.3039
99.0168;60.741055;574.2991
99.024574;60.723053;574.2916
99.028885;60.71249;574.28925
98.982254;60.66397;574.2855
98.967186;60.634865;574.2836
98.968025;60.62451;574.2801
99.00257;60.652267;574.2803
99.06203;60.689793;574.28
99.06106;60.693176;574.27747
99.04668;60.672626;574.2758
99.00782;60.626896;574.2738
99.01346;60.633385;574.2734
99.02168;60.63803;574.2734
99.05387;60.67494;574.2712
99.05932;60.67275;574.2707
99.067085;60.687317;574.2703
99.06218;60.67966;574.27014
99.09224;60.701664;574.2693
99.086876;60.687912;574.26666
